created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Oct 03 04:05:10 +0000 2022,1576785403381780480,Indonesia's NasDem party nominates Anies Baswedan for 2024 presidential race https://t.co/04FGPIfCqp https://t.co/DfvqQOSicG,148,136,1166,3661,en,1652541,1576785403381780480,Reuters,https://twitter.com/Reuters/status/1576785403381780480,
Mon Oct 03 04:01:38 +0000 2022,1576784517054226433,Anies to run. https://t.co/YG46vs65HT,46,114,666,2507,en,97139849,1576784517054226433,_KateLamb,https://twitter.com/_KateLamb/status/1576784517054226433,
Mon Oct 03 03:55:46 +0000 2022,1576783038394298368,"Breaking News, Nasdem Usung Anies Capres 2024 https://t.co/f1Uqb8zXie",14,49,234,898,en,231355136,1576783038394298368,SINDOnews,https://twitter.com/SINDOnews/status/1576783038394298368,
Sun Sep 25 22:45:35 +0000 2022,1574168265727049728,@bos_sir @LANGKAHANIES @AdindaAsmara_ @AniesIndonesia @smileupdate2024 ANIES PRESIDEN HTI https://t.co/DOMCMkT0rT,3,12,75,233,en,2385926900,1574042999696535552,MARQUEZ__93,https://twitter.com/MARQUEZ__93/status/1574168265727049728,"bos_sir, LANGKAHANIES, AdindaAsmara_, AniesIndonesia, smileupdate2024"
Sat Sep 24 18:29:40 +0000 2022,1573741474084429824,Yess Massseeeeh 🤗,0,12,68,427,en,1335552103457034240,1573741474084429824,sobat_anies,https://twitter.com/sobat_anies/status/1573741474084429824,
Tue Sep 20 21:25:04 +0000 2022,1572336064387518464,Lucy 🌕 #CyberpunkEdgerunners #Edgerunners https://t.co/5ZVsve7jL5,9,44,2716,19821,en,998788105736876032,1572336064387518464,Anies_only,https://twitter.com/Anies_only/status/1572336064387518464,
Sun Sep 18 23:53:04 +0000 2022,1571648530707779586,"Omong2 ttg Anies. While he was all style, his charisma mostly rested on his mastery of substance, strong logic, adeptness &amp  articulateness. For once in decades, why not giving a chance to reason, science &amp  data over arbitrariness, hoaxes and lies?   Nice.  https://t.co/fi1sYTsG1h",4,20,54,268,en,147063992,1571648530707779586,tatakujiyati,https://twitter.com/tatakujiyati/status/1571648530707779586,
Sun Sep 18 07:02:22 +0000 2022,1571394179095474177,Mantapp Anies-AHY 👍  #Anies #AniesBaswedan https://t.co/2yTiygA6Ik,7,109,376,1964,en,836539655478624258,1571394179095474177,aniesmania,https://twitter.com/aniesmania/status/1571394179095474177,
Thu Sep 15 09:00:55 +0000 2022,1570336851281711110,"Under Jakarta Governor Anies Baswedan's watch, the coverage of public transport in Jakarta has doubled from 40 per cent in 2016 to almost 90 per cent  https://t.co/fXjvPfL7lN",5,21,194,1012,en,1297510664148103168,1570336851281711110,GeiszChalifah,https://twitter.com/GeiszChalifah/status/1570336851281711110,
Thu Sep 15 01:40:25 +0000 2022,1570225994048606215,"Delighted to meet Jakarta Governor @aniesbaswedan. Jakarta is a bustling metropolis with a growing young population and an international outlook. Pak Anies and I had a good discussion on connectivity, digitalisation, sustainability, and local and regional developments. https://t.co/fEWfvFeC2z",13,33,336,1646,en,46570604,1570225994048606215,VivianBala,https://twitter.com/VivianBala/status/1570225994048606215,aniesbaswedan
Wed Sep 14 09:53:39 +0000 2022,1569987735926231045,Totally Agree Pak Anies #SejutaFotoAnies https://t.co/sciLAmvWNV,68,530,687,3881,en,719725925215170561,1569987735926231045,marlina_idha,https://twitter.com/marlina_idha/status/1569987735926231045,
Tue Sep 13 11:09:27 +0000 2022,1569644422341722112,Anies is the best,3,13,80,389,en,1131316706314293248,1569644422341722112,BasitoToto,https://twitter.com/BasitoToto/status/1569644422341722112,
Sun Sep 11 08:29:06 +0000 2022,1568879294218403841,"Jakarta Governor and Vice Governor Anies Baswedan and Ahmad Riza Patria have bid their farewells to the capital city as their term will end on 16 October. They will be replaced by caretaker appointees until the national elections in 2024, as will all other provinces and regions.",36,9,53,179,en,929274077323259905,1568879294218403841,nuicemedia,https://twitter.com/nuicemedia/status/1568879294218403841,
Wed Aug 31 14:07:33 +0000 2022,1564978199846498304,Goodbener Anies memang The Best  ❤️🇮🇩  #Anies #AniesBaswedan https://t.co/QcA1x0ssC2,1,44,104,656,en,836539655478624258,1564978199846498304,aniesmania,https://twitter.com/aniesmania/status/1564978199846498304,
Tue Aug 30 10:28:22 +0000 2022,1564560654572621829,"Opening Ceremony of U20 Mayors Summit #Urban20  Pak Anies,  berkelas👍😊  #AniesBaswedan https://t.co/C4jpWVlBUA",17,124,220,1049,en,719725925215170561,1564560654572621829,marlina_idha,https://twitter.com/marlina_idha/status/1564560654572621829,
Tue Aug 30 09:22:59 +0000 2022,1564544199978274817,Opening Ceremony of U20 Mayors Summit #Urban20   Gubernur Anies Baswedan 😎 https://t.co/BCYhX1BzpZ,13,51,243,1137,en,1334853481019056128,1564544199978274817,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1564544199978274817,
Sun Aug 28 07:40:43 +0000 2022,1563793688857231361,Calli commission for @daerbregnod thank you so much! 💖🙇   #callillust 🎤 https://t.co/Usjxf0acek,3,15,684,5376,en,998788105736876032,1563793688857231361,Anies_only,https://twitter.com/Anies_only/status/1563793688857231361,daerbregnod
Tue Aug 23 10:16:03 +0000 2022,1562020837137567744,Anies Fits to PKS’ Criteria for a Presidential Candidate https://t.co/MWVD8qutxH,4,10,99,541,en,1443801854756880385,1562020837137567744,kba_news,https://twitter.com/kba_news/status/1562020837137567744,
Sun Aug 21 11:01:09 +0000 2022,1561307413138980864,Winning Presidential Contest: Anies’ Next Step is Implementing Good Governance for Justice and Prosperity https://t.co/NNGxn0yxza,1,10,92,530,en,1443801854756880385,1561307413138980864,kba_news,https://twitter.com/kba_news/status/1561307413138980864,
Fri Aug 12 14:45:54 +0000 2022,1558102480407654400,Character sheet commissioned by @imkotorimusic 🎀✨ She now has brand new sneakers!!! https://t.co/zxvpWAXnqB,1,13,35,302,en,998788105736876032,1558102480407654400,Anies_only,https://twitter.com/Anies_only/status/1558102480407654400,imkotorimusic
Thu Aug 11 17:58:51 +0000 2022,1557788651521654784,"For the first time, I finally have a reference sheet for Kotori! (feat new drip &amp  shoes) 🎀  Look forward to seeing more art of her in the future 👏  🎨: @Anies_only https://t.co/9s3IvG6EcS",3,24,46,489,en,1952750436,1557788651521654784,imkotorimusic,https://twitter.com/imkotorimusic/status/1557788651521654784,Anies_only
Tue Aug 09 02:51:14 +0000 2022,1556835464606547968,Pak Anies everyday..  https://t.co/vqshoklLK7,42,116,163,787,en,968400474842918913,1556835464606547968,cutty_____,https://twitter.com/cutty_____/status/1556835464606547968,
Thu Aug 04 12:26:40 +0000 2022,1555168339495833601,Pak Anies Memang The Best‼️  #Anies #AniesBaswedan https://t.co/FBKD32V31u,3,22,112,403,en,836539655478624258,1555168339495833601,aniesmania,https://twitter.com/aniesmania/status/1555168339495833601,
Thu Aug 04 03:23:55 +0000 2022,1555031752581828609,Social Network Analysis Astra Maya: Anies Memborong Mentions dan Retweet https://t.co/OW8gGj7VZX,1,0,69,263,en,1443801854756880385,1555031752581828609,kba_news,https://twitter.com/kba_news/status/1555031752581828609,
Sat Jul 23 22:58:45 +0000 2022,1550978756289843201,"🌙Hello VTuber community! My name is Kaitsu, a lunar dragon that serves under the Moon and watches over the Earth's tides! I'm looking forward to meeting you all!  🎨: @Anies_only  #Vtuber #VTuberUprising #ENVtuber https://t.co/fW4r4q0a72",2,99,152,1136,en,1547137013580673026,1550978756289843201,kaitsudon_,https://twitter.com/kaitsudon_/status/1550978756289843201,Anies_only
Tue Jul 19 01:24:17 +0000 2022,1549203437895569408,Anies  mantap https://t.co/MOYpGS0lRo,6,44,361,1601,en,1361953101796634629,1549203437895569408,Safitridede1,https://twitter.com/Safitridede1/status/1549203437895569408,
Sat Jul 09 15:49:17 +0000 2022,1545797244334796800,Trus Anies gmn dong...? https://t.co/Ail3aUd4gr,26,219,106,1085,in,1126547830754107392,1545797244334796800,M45Broo,https://twitter.com/M45Broo/status/1545797244334796800,
Thu Jul 07 15:31:26 +0000 2022,1545067978844262401,Anies terima Piagam Transport Ticketing Award dan Tom Tom Traffic Index https://t.co/au1MJK5zaX,3,1,78,293,en,1226102794551095297,1545067978844262401,dniupdate,https://twitter.com/dniupdate/status/1545067978844262401,
Tue Jul 05 14:55:33 +0000 2022,1544334171652382720,Anies Terima Piagam Transport Ticketing Award dan Tom Tom Traffic Index https://t.co/Fdy9HZDngN,0,8,284,1181,en,1443801854756880385,1544334171652382720,kba_news,https://twitter.com/kba_news/status/1544334171652382720,
Fri Jul 01 13:53:00 +0000 2022,1542868877415178241,Anies Determined all Facilities in Jakarta Fulfils Disable-Friendly Requirements https://t.co/ogZMqiR3Fa,3,3,103,589,en,1443801854756880385,1542868877415178241,kba_news,https://twitter.com/kba_news/status/1542868877415178241,
Tue Jun 28 05:06:16 +0000 2022,1541649157814771712,Anak Kecil ke Gubernur Anies: Handsome and He Can Save The World‼️  #Anies #AniesBaswedan https://t.co/aWj092Ryta,9,10,110,459,en,836539655478624258,1541649157814771712,aniesmania,https://twitter.com/aniesmania/status/1541649157814771712,
Sun Jun 19 09:48:14 +0000 2022,1538458627547475968,Sama aja. Pak Anies jg naek MRT dikawal ada ajudannya  They are politicians with functional and structural position. That's part of SOP widely known,4,13,127,875,en,89879481,1538458627547475968,bandacatturas,https://twitter.com/bandacatturas/status/1538458627547475968,
Thu Jun 16 03:59:39 +0000 2022,1537283740606484485,Oh... Pak Anies ...😱 https://t.co/7EC2Nuc5VW,2,90,41,296,en,1219890224936783874,1537283740606484485,NyaiiBubu,https://twitter.com/NyaiiBubu/status/1537283740606484485,
Sun Jun 12 09:29:29 +0000 2022,1535917194487312385,Yang waras pastinya paham. We love and support Anies for Presiden RI tahun 2024 ❤️🇮🇩  #Anies #AniesBaswedan https://t.co/VmVUFfRlS0,1,4,99,467,en,836539655478624258,1535917194487312385,aniesmania,https://twitter.com/aniesmania/status/1535917194487312385,
Fri Jun 10 01:10:04 +0000 2022,1535066737191702528,Semoga pak Anies the next President of Indonesia 🙏 https://t.co/Jb2AMUhdVZ,1,17,76,459,en,1334853481019056128,1535066636126126080,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1535066737191702528,
Tue Jun 07 11:14:33 +0000 2022,1534131692805292032,Anies Baswedan for Presiden https://t.co/DdUJ9qLCx7,56,366,116,1214,en,1334853481019056128,1534131692805292032,Mdy_Asmara1701,https://twitter.com/Mdy_Asmara1701/status/1534131692805292032,
Sat Jun 04 15:56:26 +0000 2022,1533115470655565824,"Congratulations, Pak Anies is a true winner 👏😊  #JakartaEPrix https://t.co/xGn31oNOX9",12,91,263,2218,en,719725925215170561,1533115470655565824,marlina_idha,https://twitter.com/marlina_idha/status/1533115470655565824,
Sat Jun 04 11:11:16 +0000 2022,1533043703371091968,"President of Indonesia Joko Widodo and Governor of Jakarta Anies Baswedan joined more than 60,000 fans at the first-ever #JakartaEPrix and festival in Ancol.  @jokowi @aniesbaswedan https://t.co/UlAYLDsSJ0",293,317,2102,9331,en,703581570,1533043703371091968,FIAFormulaE,https://twitter.com/FIAFormulaE/status/1533043703371091968,"jokowi, aniesbaswedan"
Sat Jun 04 10:33:04 +0000 2022,1533034092886773760,Congratulations Anies Baswedan. Formula E is a success  #JakartaEPrix,20,183,497,4195,en,3177957847,1533034092886773760,HelmiFelis_,https://twitter.com/HelmiFelis_/status/1533034092886773760,
Sat Jun 04 09:26:36 +0000 2022,1533017365491126272,@Syaiful14742 Anies hebat https://t.co/QR2KpUToDK,0,4,35,345,en,1379199956892872707,1533007491692654593,MPeroeck,https://twitter.com/MPeroeck/status/1533017365491126272,Syaiful14742
Sat Jun 04 01:33:03 +0000 2022,1532898191066079232,"Formula E, not for Mr Anies, Jokowi, Sahroni, AHY whatever you called it, but this is for Indonesia",43,117,397,2647,en,1249682747494289408,1532898191066079232,blacklthrglvs,https://twitter.com/blacklthrglvs/status/1532898191066079232,
Fri Jun 03 06:50:05 +0000 2022,1532615589872664576,"Ahead of the first ever E-Prix of Jakarta, the ABB @FIAFormulaE  World Championship was welcomed at the National Monument by Governor Anies Baswedan. This opening event saw reigning World Champion @nyckdevries showing off the Formula E Gen2 car.  #ABBFormulaE #JakartaEPrix 🇮🇩 https://t.co/MsmINxfwVd",47,44,840,3159,en,432507102,1532615589872664576,fia,https://twitter.com/fia/status/1532615589872664576,"FIAFormulaE, nyckdevries"
